date,district,nh,rainfall_mm,landslide,flood,roadDamage,blocked,delayHours,source
2018-05-10,Nagaland,NH-37,15.1,false,false,good,false,1,IMD
2018-05-10,Mizoram,NH-37,32.5,false,false,fair,false,2,IMD
2018-05-14,Assam,NH-52,28.8,false,false,good,false,2,IMD
2018-05-15,Assam,NH-52,24.3,false,false,good,false,2,IMD
2018-05-16,Tripura,NH-157,43,false,false,good,false,0,IMD
2018-05-18,Arunachal Pradesh,NH-157,13.3,false,false,good,false,0,IMD
2018-05-19,Nagaland,NH-29,42.6,false,false,good,false,2,IMD
2018-05-19,Meghalaya,NH-52,19.1,true,false,poor,false,2,IMD
2018-05-26,Assam,NH-31,48.4,false,false,fair,false,0,IMD
2018-05-26,Arunachal Pradesh,NH-37,24.2,false,false,fair,false,0,IMD
2018-06-01,Manipur,NH-52,45.5,false,false,good,false,2,IMD
2018-06-01,Meghalaya,NH-157,22.2,false,false,good,false,2,IMD
2018-06-02,Mizoram,NH-31,29.6,false,false,good,false,0,IMD
2018-06-02,Assam,NH-29,41.9,false,false,good,false,2,IMD
2018-06-03,Arunachal Pradesh,NH-29,44.5,false,false,fair,false,0,IMD
2018-06-05,Nagaland,NH-31,15.6,false,false,fair,false,0,IMD
2018-06-05,Manipur,NH-52,41.7,false,false,good,false,2,IMD
2018-06-06,Manipur,NH-31,101,false,false,fair,true,13,IMD+BRO/NHAI
2018-06-07,Tripura,NH-31,137.4,true,false,poor,true,17,IMD+BRO/NHAI
2018-06-10,Arunachal Pradesh,NH-37,124.7,true,false,fair,true,17,IMD+BRO/NHAI
2018-06-10,Tripura,NH-52,32.9,false,false,good,false,0,IMD
2018-06-19,Arunachal Pradesh,NH-31,37.5,false,false,good,false,2,IMD
2018-06-20,Arunachal Pradesh,NH-29,16.2,false,false,good,false,2,IMD
2018-06-20,Assam,NH-31,38.4,false,false,good,false,1,IMD
2018-06-22,Mizoram,NH-29,27.5,false,false,good,false,1,IMD
2018-06-24,Tripura,NH-52,41.7,false,false,fair,false,1,IMD
2018-06-24,Mizoram,NH-29,29.7,false,false,good,false,1,IMD
2018-06-26,Tripura,NH-52,42.9,false,false,good,false,1,IMD
2018-07-02,Assam,NH-157,14.2,false,false,fair,false,1,IMD
2018-07-02,Meghalaya,NH-52,39.5,false,false,good,false,0,IMD
2018-07-04,Meghalaya,NH-29,44.8,false,false,good,false,2,IMD
2018-07-04,Nagaland,NH-29,32.9,false,false,fair,false,2,IMD
2018-07-08,Meghalaya,NH-52,10.7,false,false,good,false,2,IMD
2018-07-10,Nagaland,NH-31,31.9,false,false,good,false,2,IMD
2018-07-10,Meghalaya,NH-52,103.2,true,false,poor,true,9,IMD+BRO/NHAI
2018-07-11,Arunachal Pradesh,NH-52,42.4,false,false,good,false,0,IMD
2018-07-11,Arunachal Pradesh,NH-29,46.5,false,false,fair,false,2,IMD
2018-07-14,Manipur,NH-29,42.9,false,false,good,false,1,IMD
2018-07-16,Nagaland,NH-157,128.4,false,false,fair,true,7,IMD+BRO/NHAI
2018-07-18,Meghalaya,NH-29,11.2,true,false,poor,false,1,IMD
2018-07-19,Tripura,NH-29,10.7,true,false,poor,false,2,IMD
2018-07-22,Meghalaya,NH-37,125.6,false,false,good,true,10,IMD+BRO/NHAI
2018-07-23,Manipur,NH-37,47.8,false,false,fair,false,1,IMD
2018-07-25,Manipur,NH-52,32.5,true,false,poor,false,2,IMD
2018-07-28,Manipur,NH-52,11.7,false,false,good,false,1,IMD
2018-07-28,Mizoram,NH-31,44.7,false,false,good,false,2,IMD
2018-08-01,Assam,NH-29,12.7,false,false,good,false,2,IMD
2018-08-03,Tripura,NH-52,30.2,true,false,fair,false,2,IMD
2018-08-09,Manipur,NH-31,137.1,false,false,fair,true,14,IMD+BRO/NHAI
2018-08-10,Mizoram,NH-29,42.9,false,false,good,false,1,IMD
2018-08-12,Assam,NH-157,33.6,true,false,poor,false,0,IMD
2018-08-15,Assam,NH-29,49.3,false,false,good,false,2,IMD
2018-08-15,Arunachal Pradesh,NH-52,40.5,false,false,good,false,2,IMD
2018-08-15,Arunachal Pradesh,NH-157,42.5,true,false,poor,false,2,IMD
2018-08-16,Mizoram,NH-31,34.2,false,false,fair,false,1,IMD
2018-08-18,Mizoram,NH-52,27.3,false,false,good,false,1,IMD
2018-08-20,Mizoram,NH-52,32.7,false,false,good,false,0,IMD
2018-08-22,Assam,NH-52,25.5,false,false,good,false,1,IMD
2018-08-22,Manipur,NH-157,41.4,false,false,good,false,1,IMD
2018-08-25,Nagaland,NH-29,49.7,false,false,fair,false,1,IMD
2018-08-28,Manipur,NH-52,22.6,false,false,fair,false,0,IMD
2018-09-02,Meghalaya,NH-29,45.5,false,false,fair,false,0,IMD
2018-09-03,Meghalaya,NH-157,39.6,false,false,fair,false,1,IMD
2018-09-03,Assam,NH-157,47.3,false,false,good,false,2,IMD
